recipe_id,title,description,instructions,dish_type,taste_profile,keyword
29,Kutsinta,"Steamed rice cake topped with grated coconut, often served as a snack or dessert.","1 cup rice flour, 1/2 cup brown sugar, 1/4 tsp lye water, annatto seeds, grated coconut for topping,""1. Steam rice flour mixture with annatto and sugar. 2. Top with coconut and serve.""",main dish,savory,"rice flour, brown sugar, lye water, annatto seeds, grated coconut for topping"
30,Bibingka,"A baked rice cake with a slight sweetness, often enjoyed during Christmas.","1 cup rice flour, 1 cup coconut milk, 2 eggs, 1/2 cup sugar, 1/2 tsp baking powder, banana leaves, salted egg slices,""1. Mix rice flour, coconut milk, and sugar. 2. Bake until set and serve warm.""",main dish,sweet,"rice flour, coconut milk, eggs, sugar, baking powder, banana leaves, salted egg slices"
31,Champorado,"Chocolate rice porridge, typically served hot for breakfast or dessert.","1 cup glutinous rice, 1/4 cup cocoa powder, 1/4 cup sugar, evaporated milk for serving,""1. Cook sticky rice with chocolate and sugar. 2. Serve hot with milk.""",main dish,sweet,"glutinous rice, cocoa powder, sugar, evaporated milk for serving"
32,Ube Halaya,"Purple yam jam, sweet and creamy, a popular Filipino dessert.","1 kg ube, 1 can condensed milk, 1 cup coconut milk, 1/4 cup butter, 1/4 cup sugar,""1. Cook purple yam with sugar and coconut milk. 2. Mash until smooth and serve.""",main dish,sweet,"ube, condensed milk, coconut milk, butter, sugar"
33,Sapin-Sapin,"A colorful layered sticky rice cake, usually served during special occasions.","1 cup glutinous rice flour, 1 cup coconut milk, 1 cup sugar, food coloring for layers, coconut curds for topping,""1. Layer sticky rice in colors and steam. 2. Serve as a sweet dessert.""",main dish,sweet,"glutinous rice flour, coconut milk, sugar, food coloring for layers, coconut curds for topping"
34,Turon,Sweet fried plantains wrapped in spring roll wrapper and caramelized with sugar.,"10 saba bananas, 10 lumpia wrappers, 1/4 cup brown sugar, jackfruit (optional), oil for frying,""1. Wrap plantain in spring roll wrapper with sugar. 2. Fry until golden and serve.""",main dish,sweet,"saba bananas, lumpia wrappers, brown sugar, jackfruit (optional), oil for frying"
35,Buko Pie,"A coconut custard pie with a soft and chewy texture, a popular Filipino dessert.","500g young coconut, 1 cup flour, 1/4 cup butter, 1/4 cup sugar, 1/2 cup evaporated milk, 1 tbsp cornstarch,""1. Prepare coconut custard and bake until set. 2. Serve warm as dessert.""",main dish,sweet,"young coconut, flour, butter, sugar, evaporated milk, cornstarch"
36,Halo-Halo,"A layered dessert with shaved ice, sweet beans, and various fruits, topped with leche flan and ube.","1 cup shaved ice, 1/4 cup milk, 1/4 cup sweetened beans, assorted jellies, 1/4 cup nata de coco,""1. Layer shaved ice with sweet beans, fruits, and toppings. 2. Serve cold.""",main dish,sweet,"shaved ice, milk, sweetened beans, assorted jellies, nata de coco"
37,Puto Bumbong,"Sticky rice topped with shredded coconut, served during the Christmas season.","1 cup glutinous rice flour, 1/2 cup purple food coloring, banana leaves, grated coconut for topping, 1/4 cup brown sugar,""1. Steam sticky rice with coconut. 2. Serve with sugar.""",main dish,sweet,"glutinous rice flour, purple food coloring, banana leaves, grated coconut for topping, brown sugar"
38,Empanada,Filipino-style meat pastry with a savory filling of ground meat and vegetables.,"500g ground pork, 1 potato, 1 carrot, 1 onion, 3 cloves garlic, salt and pepper to taste, dough for crust, oil for frying,""1. Fill pastry with meat filling and bake until golden. 2. Serve warm.""",main dish,savory,"ground pork, potato, carrot, onion, garlic, salt and pepper to taste, dough for crust, oil for frying"
39,Pandesal,"Soft and slightly sweet Filipino bread, often eaten for breakfast.","4 cups all-purpose flour, 1/2 cup sugar, 1 tsp salt, 2 tsp yeast, 1 cup milk, 1/4 cup butter, 1 egg,""1. Bake dough until golden. 2. Serve with butter.""",main dish,savory,"all-purpose flour, sugar, salt, yeast, milk, butter, egg"
40,Ensaladang Talong,"Roasted eggplant salad with tomatoes and onions, served with bagoong or fish sauce.","2 eggplants, 1 tomato, 1 onion, 1/4 cup vinegar, salt to taste, 1/4 cup fish sauce (optional),""1. Grill eggplant and serve with tomato and onion. 2. Garnish with bagoong.""",main dish,savory,"eggplants, tomato, onion, vinegar, salt to taste, fish sauce (optional)"
41,Bistek Tagalog,"Beef steak marinated in soy sauce and calamansi, topped with caramelized onions.","500g beef sirloin, 1/4 cup soy sauce, 1/4 cup calamansi juice, 2 onions, 1/2 cup water, salt and pepper to taste,""1. Marinate beef with calamansi and soy sauce. 2. Fry with onions and serve with rice.""",main dish,sweet,"beef sirloin, soy sauce, calamansi juice, onions, water, salt and pepper to taste"
42,Leche Flan,"A creamy caramel custard dessert, a staple at Filipino gatherings.","8 egg yolks, 1 can condensed milk, 1 can evaporated milk, 1/4 cup sugar for caramel,""1. Cook caramel custard until set. 2. Serve as dessert.""",main dish,savory,"egg yolks, condensed milk, evaporated milk, sugar for caramel"
43,Palabok,"Rice noodles with shrimp sauce, chicharon, and boiled eggs, a festive noodle dish.","200g rice noodles, 100g shrimp, 1/2 cup shrimp broth, 2 tbsp annatto oil, 1/4 cup crushed chicharon, 1 egg, 1 tbsp fish sauce, 2 tbsp green onions, calamansi for serving,""1. Boil rice noodles and layer with sauce and toppings. 2. Serve hot with lime.""",main dish,savory,"rice noodles, shrimp, shrimp broth, annatto oil, crushed chicharon, egg, fish sauce, green onions, calamansi for serving"
44,Lomi,"Thick egg noodle soup with meat and vegetables, commonly served hot and comforting.","200g egg noodles, 100g pork, 100g shrimp, 1 egg, 1/2 cup cabbage, 1 carrot, 5 cloves garlic, 1 onion, 1/4 cup fish sauce, 1/4 cup soy sauce,""1. Boil noodles with meat and vegetables. 2. Serve hot with broth.""",main dish,savory,"egg noodles, pork, shrimp, egg, cabbage, carrot, garlic, onion, fish sauce, soy sauce"
45,Camote Cue,"Sweet potato slices deep-fried and coated in caramelized sugar, a popular street food snack.","4 large camote, 1/2 cup brown sugar, oil for frying,""1. Deep-fry sweet potato slices. 2. Coat with caramelized sugar and serve.""",main dish,savory,"camote, brown sugar, oil for frying"
46,Dinengdeng,"A vegetable soup with squash, string beans, and bitter melon in fish sauce, native to Ilocos region.","100g winged beans, 100g squash, 100g eggplant, 1 tomato, 1 onion, 1/2 cup bagoong (fermented fish paste), salt to taste,""1. Simmer vegetables with fish sauce. 2. Serve with rice.""",main dish,savory,"winged beans, squash, eggplant, tomato, onion, bagoong, salt to taste"
47,Pinangat,A spicy and tangy dish of fish or meat cooked in a banana leaf with coconut milk and chili.,"300g taro leaves, 2 cups coconut milk, 2 tbsp shrimp paste, 5 cloves garlic, 1 onion, green chili to taste, salt and pepper to taste,""1. Wrap fish with banana leaf, add coconut milk. 2. Steam until cooked through.""",main dish,savory,"taro leaves, coconut milk, shrimp paste, garlic, onion, green chili to taste, salt and pepper to taste"
48,Chicken Adobo,"Chicken braised in soy sauce, vinegar, and garlic, a staple in Filipino households.","1 kg chicken, 1/2 cup soy sauce, 1/4 cup vinegar, 5 cloves garlic, 3 bay leaves, 1 tsp peppercorns, 1/2 cup water, salt to taste,""1. Marinate chicken in soy sauce and vinegar. 2. Simmer until tender and serve with rice.""",main dish,savory,"chicken, soy sauce, vinegar, garlic, bay leaves, peppercorns, water, salt to taste"
49,Pancit Palabok,"Rice noodles with a savory sauce, topped with shrimp, egg, and crushed chicharon.","200g rice noodles, 1/2 cup shrimp broth, 100g pork, 2 tbsp annatto oil, 2 tbsp crushed chicharon, 1 egg, 1/4 cup fish sauce, green onions for garnish,""1. Layer noodles with sauce, shrimp, and toppings. 2. Serve with calamansi.""",main dish,savory,"rice noodles, shrimp broth, pork, annatto oil, crushed chicharon, egg, fish sauce, green onions for garnish"
50,Nilagang Baka,"A hearty boiled beef dish with cabbage, corn, and potatoes, perfect for cold weather.","1 kg beef shank, 4 corn on the cob, 100g green beans, 1 onion, 3 cloves garlic, salt and pepper to taste, 1 bunch cabbage or bok choy,""1. Boil beef with vegetables. 2. Serve hot with rice.""",main dish,savory,"beef shank, corn on the cob, green beans, onion, garlic, salt and pepper to taste, cabbage or bok choy"
